cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote,District,State_Abv
N00044245,Jerry Carl (R),1971321.5,1859348.91,387000.0,1044195.95,434655.5,105470.05,111972.59,999616.34,44579.61,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,64.88,W,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,01,AL
N00044750,James Averhart (D),80094.95,78973.24,0.0,50849.95,29245.0,0.0,1121.71,37954.77,12895.18,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,35.04,L,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,01,AL
N00041295,Barry Moore (R),650806.75,669367.7000000001,230281.65,408536.2,11500.0,488.9,-13633.28,346328.65,62207.55,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,65.3,W,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,02,AL
N00045944,Phyllis Harvey-Hall (D),56049.68,55988.07000000001,2032.0,42411.95,10575.41,1030.32,0.0,27105.15,15306.8,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,34.61,L,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,02,AL
N00045631,John Page (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Alabama,,,2020-03-03 00:00:00 +0000,,0,2,N,02,AL
N00024759,Mike D Rogers (R),1193111.4300000002,1218563.76,744733.7,443369.0,0.0,5008.73,502233.7,438054.0,5315.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,67.54,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL03,0,1,N,03,AL
N00042603,Adia Winfrey (D),50273.2,40971.09,107.97,46912.89,700.0,2552.34,43.31,10430.0,36482.89,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,32.38,L,C,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,03,AL
N00003028,Robert B Aderholt (R),1255076.11,1323812.08,739300.0,541121.78,0.0,-25345.67,647004.39,479663.0,61458.78,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,82.5,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL04,0,1,N,04,AL
N00033970,Rick Neighbors (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Alabama,,,2020-03-03 00:00:00 +0000,,0,2,N,04,AL
N00030910,Mo Brooks (R),655364.7999999999,210045.13,250020.0,417354.83,0.0,-12010.03,1137501.18,395551.0,21803.83,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,95.81,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL05,0,1,N,05,AL
N00035691,Gary Palmer (R),907218.78,909082.2,397600.0,469170.0,0.0,40448.78,370687.86,468075.0,1095.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,97.13,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL06,0,1,N,06,AL
N00043975,Kaynen Pellegrino (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Alabama,,,2020-03-03 00:00:00 +0000,,0,2,N,06,AL
N00030622,Terri Sewell (D),2168165.01,1495957.14,1760802.74,407562.27,0.0,-200.0,2243480.25,379899.0,27663.27,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,97.16,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL07,0,1,N,07,AL
N00007999,Don Young (R),1922901.19,1790448.12,839094.63,963416.04,0.0,120390.52,249173.19,793322.8,170093.24,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,54.4,W,I,Alaska,,,2020-08-18 00:00:00 +0000,AK01,0,1,N,01,AK
N00042372,Alyse Galvin (I),5178452.0200000005,5088103.41,340486.99,4796137.47,4371.82,37455.74,96593.7,3526934.76,1269202.71,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,45.3,L,C,Alaska,,,2020-08-18 00:00:00 +0000,    ,0,2,N,01,AK
N00039991,Gerald Heikes (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Alaska,,,2020-08-18 00:00:00 +0000,,0,2,N,01,AK
N00037515,Tom O'Halleran (D),3381353.45,3324138.19,1434693.84,1832125.24,0.0,114534.37,63147.21,1593792.48,238332.76,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,51.6,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ01,0,1,N,01,AZ
N00041745,Tiffany Shedd (R),1675618.0599999998,1615704.39,257700.0,1162725.27,72706.09999999999,182486.69,63347.13,1039568.11,123157.16,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,48.4,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,01,AZ
N00029260,Ann Kirkpatrick (D),1849861.51,1384764.75,690001.0,1182656.78,0.0,-22796.27,537288.01,766925.56,415731.22,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,55.1,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ02,0,1,N,02,AZ
N00042605,Brandon Martin (R),374820.5500000001,381067.07,6000.0,374040.55,0.0,-5220.0,-7418.02,311330.13,62710.42,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,44.9,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,02,AZ
N00044751,Iman-Utopia Layjou Bah (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Arizona,,,2020-08-04 00:00:00 +0000,,0,2,N,02,AZ
N00025284,Raul M Grijalva (D),843559.9,655506.97,264094.54,589160.21,0.0,-9694.85,226208.67,395666.9,193493.31,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,64.6,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ03,0,1,N,03,AZ
N00045637,Daniel Wood (R),41422.39,41961.8,6800.0,35141.53,0.0,-519.14,-539.41,18883.0,16258.53,2020-11-23 00:00:00 +0000,2021-04-01 00:00:00 +0000,35.4,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,03,AZ
N00030771,Paul Gosar (R),622151.0700000001,729891.81,240091.93,391103.98,0.0,-9044.84,13458.84,249199.0,141904.98,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,69.8,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ04,0,1,N,04,AZ
N00026555,Delina DiSanto (D),77167.5,79757.81,1072.25,73586.11,0.0,2509.14,5973.88,51373.98,22212.13,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,30.2,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,04,AZ
N00039293,Andy Biggs (R),1602181.1700000002,1236379.82,363780.0,1312957.5,0.0,-74556.33,651046.86,678864.54,634092.96,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,58.9,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ05,0,1,N,05,AZ
N00041063,Joan Greene (D),356068.52,209789.14,1048.17,217594.73,139235.62,-1810.0,147116.79,78345.55,139249.18,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,41.1,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,05,AZ
N00006460,David Schweikert (R),2265328.77,2249979.11,680535.52,1433141.94,0.0,151651.31,59582.15,1325193.86,107948.08,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,52.2,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ06,0,1,N,06,AZ
N00041302,Hiral Tipirneni (D),6301073.430000001,6366702.47,646538.77,5282533.94,26406.09,345594.63,34972.7,4092199.44,1190334.5,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,47.8,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,06,AZ
N00046146,Tom Lewellen (I),11684.7,10999.54,0.0,3415.0,10200.0,-1930.3,-3292.84,3000.0,415.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.0,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,06,AZ
N00046378,Gennaro Napolitano (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Arizona,,,2020-08-04 00:00:00 +0000,,0,2,N,06,AZ
N00036097,Ruben Gallego (D),1811753.93,1653960.74,745508.81,1078495.12,0.0,-12250.0,616971.05,744469.68,334025.44,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,76.7,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ07,0,1,N,07,AZ
N00044446,Josh Barnett (R),28093.0,17882.67,3375.0,22068.0,2650.0,0.0,10210.33,17885.0,4183.0,2020-10-14 00:00:00 +0000,2021-04-01 00:00:00 +0000,23.3,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,07,AZ
N00042056,Debbie Lesko (R),1605245.43,987453.17,397031.76,950077.08,0.0,258136.59,688632.93,582207.0,367870.08,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,59.6,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ08,0,1,N,08,AZ
N00044485,Michael Muscato (D),357905.84,347734.22,4103.43,334990.11,18869.130000000005,-56.83,10171.62,172212.08,162778.03,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,40.4,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,08,AZ
N00041750,Greg Stanton (D),2001619.38,1001350.17,655960.88,1350833.95,0.0,-5175.45,1044654.6,1179987.13,170846.82,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,61.6,W,I,Arizona,,,2020-08-04 00:00:00 +0000,AZ09,0,1,N,09,AZ
N00036982,Dave Giles (R),130480.29,129934.54,0.0,55928.23,69552.06,5000.0,545.75,13313.53,42614.7,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,38.4,L,C,Arizona,,,2020-08-04 00:00:00 +0000,    ,0,2,N,09,AZ
N00030770,Rick Crawford (R),966801.25,1095517.53,556335.62,405293.4,0.0,5172.23,182708.24,367990.0,37303.4,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,100.0,W,I,Arkansas,,,2020-03-03 00:00:00 +0000,AR01,0,1,N,01,AR
N00035792,French Hill (R),3384489.66,3020490.93,1531281.6,1700705.98,0.0,152502.08,410779.36,1598588.2,102117.78,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,55.4,W,I,Arkansas,,,2020-03-03 00:00:00 +0000,AR02,0,1,N,02,AR
N00031717,Joyce Elliott (D),3482463.03,3478733.18,373403.13,3146457.55,100.0,-37497.65,3729.85,1769569.71,1376887.84,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,44.6,L,C,Arkansas,,,2020-03-03 00:00:00 +0000,    ,0,2,N,02,AR
N00031857,Steve Womack (R),1127158.1700000002,923120.26,568221.3,548980.0,0.0,9956.87,1363256.7,484990.0,63990.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,64.3,W,I,Arkansas,,,2020-03-03 00:00:00 +0000,AR03,0,1,N,03,AR
N00045121,Celeste Williams (D) (D),355294.42,355294.42,4500.0,339611.09,0.0,11183.33,0.0,184726.96,154884.13,2020-11-30 00:00:00 +0000,2021-04-01 00:00:00 +0000,31.8,L,C,Arkansas,,,2020-03-03 00:00:00 +0000,    ,0,2,N,03,AR
N00043098,Mike Kalagias (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Arkansas,,,2020-03-03 00:00:00 +0000,,0,2,N,03,AR
N00035527,Bruce Westerman (R),1407769.5699999998,1102573.11,748630.35,667948.54,0.0,-8809.32,976806.01,609362.5,58586.04,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,69.7,W,I,Arkansas,,,2020-03-03 00:00:00 +0000,AR04,0,1,N,04,AR
N00045205,William Hanson (D),109767.15,111682.66,0.0,39667.15,0.0,70100.0,-1915.51,31733.33,7933.82,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,27.5,L,C,Arkansas,,,2020-03-03 00:00:00 +0000,    ,0,2,N,04,AR
N00039035,Frank Gilbert (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Arkansas,,,2020-03-03 00:00:00 +0000,,0,2,N,04,AR
N00033987,Doug LaMalfa (R),1219556.17,1155945.34,406259.52,697128.15,0.0,116168.5,91241.78,643015.15,54113.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,56.9,W,I,California,,,2020-03-03 00:00:00 +0000,CA01,0,1,N,01,CA
N00042063,Audrey Denney (D),2461769.49,2457660.64,116687.67,2334172.41,0.0,10909.41,4601.34,1482952.9,851219.51,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,43.1,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,01,CA
N00033030,Jared Huffman (D),899418.89,797753.48,377125.0,535321.56,0.0,-13027.67,922441.85,479513.97,55807.59,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,75.7,W,I,California,,,2020-03-03 00:00:00 +0000,CA02,0,1,N,02,CA
N00035352,Dale Mensing (R),5921.0,2197.23,5000.0,400.0,521.0,0.0,5391.45,400.0,0.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,24.3,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,02,CA
N00030856,John Garamendi (D),1054066.16,667320.28,618324.0,442762.16,0.0,-7020.0,1111122.28,411195.84,31566.32,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,54.7,W,I,California,,,2020-03-03 00:00:00 +0000,CA03,0,1,N,03,CA
N00044486,Tamika Hamilton (R),397099.11,384583.7,14405.0,381989.11,100.0,605.0,12515.41,208918.6,173070.51,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,45.3,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,03,CA
N00006863,Tom McClintock (R),2053362.96,2107248.27,258985.09,1653373.48,0.0,141004.39,171000.96,1135326.19,518047.29,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,55.9,W,I,California,,,2020-03-03 00:00:00 +0000,CA04,0,1,N,04,CA
N00044487,Brynne Kennedy (D),3006020.3000000003,3002531.77,255159.39,2332538.46,411680.32,6642.13,3488.53,1887644.38,444894.08,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,44.1,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,04,CA
N00007419,Mike Thompson (D),2208136.29,2022750.89,1467430.83,738029.47,0.0,2675.99,1746171.58,591047.43,146982.04,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,76.8,W,I,California,,,2020-03-03 00:00:00 +0000,CA05,0,1,N,05,CA
N00045123,Scott Giblin (R),0.0,593.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30 00:00:00 +0000,2021-04-01 00:00:00 +0000,23.2,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,05,CA
N00027459,Doris Matsui (D),1019605.42,1073529.14,748750.0,274810.41,0.0,-3954.99,269411.46,268240.0,6570.41,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,73.4,W,I,California,,,2020-03-03 00:00:00 +0000,CA06,0,1,N,06,CA
N00045471,Chris Bish (R),44772.03,44553.89,0.0,11825.37,32446.66,500.0,964.83,3623.57,8201.8,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,26.6,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,06,CA
N00030717,Ami Bera (D),1757748.4,1053443.64,864309.23,960938.64,0.0,-67499.47,2029018.19,816651.93,144286.71,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,56.6,W,I,California,,,2020-03-03 00:00:00 +0000,CA07,0,1,N,07,CA
N00044843,Buzz Patterson (R),43876.18,29614.19,0.0,41426.18,2500.0,-50.0,3532.12,27137.99,14288.19,2019-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,43.4,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,07,CA
N00045377,Jay Obernolte (R),1861647.09,1792063.88,155998.0,421167.32,1288000.0,-3518.23,69583.21,314272.48,106894.84,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,56.1,W,O,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,08,CA
N00044293,Chris Bubser (D),1858000.78,1856613.14,173978.87,1557652.17,134030.35,-7660.61,1387.64,1341256.43,216395.74,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,43.9,L,O,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,08,CA
N00026926,Jerry McNerney (D),1177958.9300000002,1112543.33,480090.0,702535.03,0.0,-4666.1,234173.42,602997.03,99538.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,57.6,W,I,California,,,2020-03-03 00:00:00 +0000,CA09,0,1,N,09,CA
N00045951,Tony Amador (R),52175.0,52175.0,5000.0,36135.0,11090.0,-50.0,0.0,26700.0,9435.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,42.4,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,09,CA
N00040853,Josh Harder (D),7400135.359999999,3950613.49,866939.14,6070298.81,0.0,462897.41,3469762.53,5252602.44,817696.37,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,55.2,W,I,California,,,2020-03-03 00:00:00 +0000,CA10,0,1,N,10,CA
N00043111,Ted Howze (R),1426552.3099999998,1721881.69,56985.71,1001725.82,343500.0,24340.78,14240.97,763303.84,238421.98,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,44.8,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,10,CA
N00030709,Mark Desaulnier (D),610394.25,440536.7,402277.0,209617.25,0.0,-1500.0,481388.01,163465.59,46151.66,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,73.0,W,I,California,,,2020-03-03 00:00:00 +0000,CA11,0,1,N,11,CA
N00045648,Nisha Sharma (R),174954.34,171869.64,12500.0,162345.85,0.0,108.49,3084.7,150029.4,12316.45,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,27.0,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,11,CA
N00007360,Nancy Pelosi (D),27359508.43,22064952.91,1874066.13,24313139.49,0.0,1172302.81,6299373.34,8841636.2,15471503.29,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,77.6,W,I,California,,,2020-03-03 00:00:00 +0000,CA12,0,1,N,12,CA
N00042779,Shahid Buttar (D),1672875.7100000002,1650467.13,3879.0,1687110.79,5514.3,-23628.38,22416.65,619664.29,1067446.5,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,22.4,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,12,CA
N00008046,Barbara Lee (D),1828212.51,1750142.23,479849.0,1347704.25,0.0,659.26,210373.72,958862.72,388841.53,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,90.4,W,I,California,,,2020-03-03 00:00:00 +0000,CA13,0,1,N,13,CA
N00044755,Nikka Piterman (R),9839.41,9903.82,0.0,6124.96,4052.0,-337.55,1292.8,2451.8,3670.56,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,9.6,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,13,CA
N00029649,Jackie Speier (D),942933.73,919598.68,269418.74,658959.34,0.0,14555.65,1779771.51,627621.16,31338.18,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,79.3,W,I,California,,,2020-03-03 00:00:00 +0000,CA14,0,1,N,14,CA
N00046735,Ran S Petel (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,California,,,2020-03-03 00:00:00 +0000,,0,2,N,14,CA
N00033508,Eric Swalwell (D),2807773.5,3977838.66,521650.0,2310089.83,0.0,-23966.33,502928.74,1899884.93,410204.9,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,70.9,W,I,California,,,2020-03-03 00:00:00 +0000,CA15,0,1,N,15,CA
N00045124,Alison Hayden (R),0.0,8357.65,0.0,0.0,0.0,0.0,5727.32,0.0,0.0,2020-11-03 00:00:00 +0000,2021-04-01 00:00:00 +0000,29.1,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,15,CA
N00026341,Jim Costa (D),2135524.73,1835244.42,1233453.47,906986.01,0.0,-4914.75,410170.62,899680.71,7305.3,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,59.3,W,I,California,,,2020-03-03 00:00:00 +0000,CA16,0,1,N,16,CA
N00044844,Kevin Cookingham (R),265364.35,265364.35,15000.0,250364.35,0.0,0.0,0.0,214181.5,36182.85,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,40.7,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,16,CA
N00026427,Ro Khanna (D),3837981.52,2455456.6100000003,0.0,3906909.04,0.0,-68927.52,2261128.43,3448778.91,458130.13,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,71.3,W,I,California,,,2020-03-03 00:00:00 +0000,CA17,0,1,N,17,CA
N00045474,Ritesh Tandon (R),175536.32,175014.57,7550.0,167984.32,2.0,0.0,521.75,130252.62,37731.7,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,28.7,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,17,CA
N00007335,Anna Eshoo (D),2114908.93,2059157.71,1000589.55,1129201.69,0.0,-14882.31,552798.79,1086248.75,42952.94,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,63.2,W,I,California,,,2020-03-03 00:00:00 +0000,CA18,0,1,N,18,CA
N00043981,Rishi Kumar (D),674383.01,691938.46,0.0,539988.01,140000.0,-5605.0,-17555.45,512607.0,27381.01,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,36.8,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,18,CA
N00007479,Zoe Lofgren (D),1755555.37,1731699.7300000002,538590.0,524477.88,0.0,692487.49,1160537.44,488175.06,36302.82,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,71.7,W,I,California,,,2020-03-03 00:00:00 +0000,CA19,0,1,N,19,CA
N00043656,Justin Aguilera (R),9112.0,11542.18,5000.0,4112.0,0.0,0.0,1440.52,2500.0,1612.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,28.3,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,19,CA
N00038601,Jimmy Panetta (D),2009893.95,1592670.91,1281097.36,729035.85,0.0,-239.26,1175356.72,664155.5,64880.35,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,76.8,W,I,California,,,2020-03-03 00:00:00 +0000,CA20,0,1,N,20,CA
N00045475,Jeff Gorman (R),67634.2,64947.32,0.0,66634.2,1000.0,0.0,2686.88,53337.76,13296.44,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,23.2,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,20,CA
N00028122,TJ Cox (D),5695156.819999999,5694005.17,1148730.78,4247198.97,0.0,299227.07,55942.76,3470839.95,776359.02,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,49.6,L,I,California,,,2020-03-03 00:00:00 +0000,CA21,0,1,N,21,CA
N00033367,David Valadao (R),4067880.26,3982586.94,634109.0,2850820.64,0.0,582950.62,164211.41,2203485.08,647335.56,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,50.4,W,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,21,CA
N00007248,Devin Nunes (R),26825212.07,20156092.78,1014287.92,25575016.92,0.0,235907.23,10908032.78,11452938.55,14122078.37,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,54.2,W,I,California,,,2020-03-03 00:00:00 +0000,CA22,0,1,N,22,CA
N00044758,Phil Arballo (D),5091451.329999999,5062185.319999999,71072.07,5100278.0,0.0,-79898.74,29266.01,2265863.42,2834414.58,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,45.8,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,22,CA
N00028152,Kevin McCarthy (R),27780643.76,24265583.21,1686635.02,21253771.14,0.0,4840237.6,4802132.73,7880663.7,13373107.44,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,62.1,W,I,California,,,2020-03-03 00:00:00 +0000,CA23,0,1,N,23,CA
N00044759,Kim Mangone (D),1671100.78,1665372.8,27577.79,1658389.37,1409.42,-16275.8,5727.98,482437.58,1175951.79,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,37.9,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,23,CA
N00037015,Salud Carbajal (D),2117836.37,1451622.04,638537.88,1504779.2,0.0,-25480.71,1400704.68,1382966.5,121812.7,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,58.7,W,I,California,,,2020-03-03 00:00:00 +0000,CA24,0,1,N,24,CA
N00045125,Andy Caldwell (R),1298797.68,1268199.25,9500.0,1295793.73,0.0,-6496.05,34587.32,1103961.02,191832.71,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,41.3,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,24,CA
N00044298,Mike Garcia (R),9962506.510000002,9584648.24,897272.29,8450344.31,786.0,614103.91,377858.27,4257665.9,4192678.41,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,50.0,W,I,California,,,2020-03-03 00:00:00 +0000,CA25,0,1,N,25,CA
N00045651,Christy Smith (D),5977734.3,5808476.649999999,998331.22,4728273.17,5600.0,245529.91,169257.65,3195344.25,1532928.92,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,50.0,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,25,CA
N00034254,Julia Brownley (D),1976694.82,1314677.02,721250.0,1138094.93,0.0,117349.89,3113430.2,858103.19,279991.74,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,60.6,W,I,California,,,2020-03-03 00:00:00 +0000,CA26,0,1,N,26,CA
N00045381,Ronda Kennedy (R),246225.6,67208.47,0.0,237314.06,7911.540000000001,1000.0,177973.33,86624.0,150690.06,2020-10-14 00:00:00 +0000,2021-04-01 00:00:00 +0000,39.4,L,C,California,,,2020-03-03 00:00:00 +0000,    ,0,2,N,26,CA
N00030600,Judy Chu (D),1213705.84,956297.79,591600.0,628455.84,0.0,-6350.0,2781769.51,582572.0,45883.84,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,69.8,W,I,California,,,2020-03-03 00:00:00 +0000,CA27,0,1,N,27,CA
